Postcode,Latitude,Longitude
AB1 0AA,57.101478,-2.242852
AB1 0AB,57.102558,-2.246309
AB1 0AD,57.10056,-2.248342
AB1 0AE,57.084447,-2.255708
AB1 0AF,57.096659,-2.258103
AB1 0AG,57.097089,-2.267513
AB1 0AJ,57.099015,-2.252854
AB1 0AL,57.101769,-2.254688
AB1 0AN,57.097556,-2.245483
AB1 0AP,57.098247,-2.245768
AB1 0AQ,57.098557,-2.252504
AB1 0AR,57.09136,-2.224832
AB1 0AS,57.083842,-2.234438
AB1 0AT,57.089303,-2.239769
AB1 0AX,57.095683,-2.24788
AB1 0BA,57.090699,-2.255867
AB1 0BB,57.086319,-2.258592
AB1 0BD,57.079129,-2.268852
AB1 0BE,57.090615,-2.257483
AB1 0BJ,57.081424,-2.262319
AB1 0BL,57.081941,-2.246568
AB1 0BN,57.069315,-2.258012
AB1 0BP,57.067255,-2.272212
AB1 0BQ,57.067838,-2.284733
AB1 0BR,57.062166,-2.278342
AB1 0BS,57.051405,-2.265256
AB1 0BT,57.057096,-2.250046
AB1 0BX,57.069305,-2.235583
AB1 0BY,57.082284,-2.236671
AB1 0BZ,57.082729,-2.238588
AB1 0DA,57.064198,-2.228427
AB1 0DB,57.070239,-2.244907
AB1 0DD,57.097814,-2.228007
AB1 0DJ,57.102797,-2.243454
AB1 0DL,57.101478,-2.242852
AB1 0DN,57.101897,-2.239883
AB1 0DP,57.101386,-2.238956
AB1 0DQ,57.103208,-2.239743
AB1 0DR,57.104582,-2.235642
AB1 0DS,57.105427,-2.234954
AB1 0DT,57.10552,-2.233683
AB1 0DU,57.106631,-2.234747
AB1 0DX,57.106394,-2.231955
AB1 0DY,57.101381,-2.241531
AB1 0EA,57.106107,-2.231689
AB1 0EB,57.107174,-2.233
AB1 0ED,57.106887,-2.232619
AB1 0EE,57.107664,-2.230246
AB1 0EF,57.109093,-2.239203
AB1 0EH,57.107012,-2.237622
AB1 0EJ,57.108255,-2.240618
AB1 0EL,57.110386,-2.244396
AB1 0EN,57.10478,-2.240001
AB1 0EP,57.104542,-2.246883
AB1 0EQ,57.108525,-2.258647
AB1 0ER,57.115959,-2.255892
AB1 0ES,57.123897,-2.274709
AB1 0ET,57.114643,-2.24946
AB1 0EU,57.103944,-2.240227
AB1 0EW,57.106772,-2.2362
AB1 0EX,57.12169,-2.242538
AB1 0HA,57.10269,-2.238485
AB1 0HB,57.102776,-2.235597
AB1 0HD,57.103741,-2.233705
AB1 0HJ,57.104809,-2.233992
